Training,mae,mse,dssim,gdl,spectral,wavelet,wavelet-complex,emd,rx1day,max-emd,max-under-estim,max-over-estim,spectrum-delta
MSE (log),0.271,0.822,0.00692,0.799,0.428,0.704,0.331,0.0671,113,20.3,70.2,0.0608,86.3
MAE (log),0.263,0.817,0.00697,0.8,0.427,0.678,0.309,0.0711,115,20,69.5,0,85.2
DSSIM (log),0.303,1.23,0.00776,0.847,0.464,1.09,0.47,0.0574,103,25.5,78.7,0,87.2
NLL-BG (log),0.275,0.855,0.00748,0.884,0.365,0.776,0.35,0.0483,330,3.39,27.3,14.9,62
Asym-MAE (log),0.265,0.838,0.00702,0.804,0.431,0.689,0.315,0.0729,110,20.9,71.7,0,86
Complex Wavelet (log),0.266,0.741,0.00691,0.826,0.378,0.581,0.261,0.0618,116,15.9,57.1,0.122,82.5
MSE + NLL-BG (log),0.28,0.872,0.00762,0.879,0.373,0.825,0.363,0.0536,207,5.94,31.7,10.4,63.5
NLL-BG + DSSIM (log),0.279,0.872,0.0074,0.877,0.373,0.82,0.359,0.0595,234,3.95,27.6,12.4,61.6
NLL-BG + GDL (log),0.289,0.954,0.00786,0.898,0.377,0.862,0.396,0.0658,205,4.12,29.5,13.9,61
NLL-BG + C-Wav (log),0.267,0.775,0.00712,0.907,0.331,0.632,0.276,0.034,228,0.52,18.3,17.6,53.7
MSE + DSSIM (log),0.275,0.908,0.00704,0.808,0.438,0.765,0.353,0.0622,112,21.9,73.3,0,85.9
MSE + Spec (log),0.297,0.935,0.00786,0.991,0.329,0.713,0.345,0.059,142,14.9,52.6,1.1,58.3
MSE + C-Wav (log),0.264,0.749,0.00685,0.807,0.403,0.63,0.274,0.069,114,17.2,61,0.0913,86.8
MSE + GDL (log),0.28,0.979,0.00732,0.821,0.446,0.768,0.376,0.0752,110,23.9,77.4,0,87.7
F-MSE + DSSIM (log),0.28,0.951,0.00717,0.834,0.444,0.786,0.364,0.0614,107,22.5,74,0.0304,85.5
F-MSE + Spec (log),0.325,1.09,0.00923,1.21,0.333,0.731,0.337,0.0527,167,10.7,43.2,6.11,35.7
F-MSE + C-Wav (log),0.274,0.8,0.00729,0.852,0.396,0.663,0.285,0.0693,118,17.5,62.2,0.122,85.9
F-MSE + GDL (log),0.287,1.02,0.00761,0.84,0.461,0.811,0.388,0.0799,108,24.6,79.1,0,94.3
MSE + DSSIM + Spec (log),0.283,0.924,0.00727,0.909,0.347,0.711,0.338,0.0575,137,18.6,63.9,1.28,70
MSE + Spec + C-Wav (log),0.283,0.832,0.00751,0.986,0.324,0.582,0.265,0.056,149,11.4,42.4,2.83,62.7
MSE + C-Wav + GDL (log),0.264,0.774,0.00685,0.804,0.41,0.635,0.281,0.0685,114,18.4,65.9,0.0304,86.7
MSE + GDL + Spec (log),0.287,0.942,0.00751,0.899,0.348,0.703,0.35,0.0625,125,19.4,66.2,0.365,71.3
MSE + DSSIM + C-Wav (log),0.262,0.759,0.00671,0.799,0.406,0.643,0.273,0.0644,121,17.5,62.5,0,84.6
MSE + DSSIM + GDL (log),0.279,0.984,0.00724,0.82,0.447,0.758,0.373,0.0697,115,23.4,75.9,0.0304,86.9
MSE + NLL-BG + C-Wav (log),0.266,0.766,0.00708,0.889,0.339,0.647,0.276,0.0421,237,1.72,21.7,15.7,57.1
F-MSE + Spec + C-Wav (log),0.298,0.903,0.00816,1.1,0.323,0.598,0.267,0.0531,153,10.2,39.8,4.26,50.6
