Training,mae,mse,dssim,gdl,spectral,wavelet,wavelet-complex,emd,rx1day,max-emd,max-under-estim,max-over-estim,spectrum-delta
MSE,0.282,0.659,0.00682,0.799,0.412,0.558,0.216,0.0565,93.4,19.5,68.6,0,90
MAE,0.286,0.928,0.00749,0.861,0.457,0.671,0.282,0.0734,64.2,28.9,90.1,0,90.4
DSSIM,0.342,1.5,0.00849,0.907,0.502,1.32,0.5,0.136,46.8,37,97.8,0,92.9
NLL-BG,0.26,0.802,0.00647,0.788,0.424,0.692,0.304,0.0647,75.8,21.3,71.3,0,85.7
Asym-MAE,0.292,0.8,0.00753,0.842,0.428,0.665,0.313,0.0927,77.9,23.9,79.8,0,88.3
Complex Wavelet,0.296,0.747,0.00743,0.869,0.392,0.551,0.194,0.0588,82.9,21.9,76.5,0,86
Wavelet,0.296,0.758,0.00751,0.87,0.408,0.559,0.2,0.0611,87.1,22.1,77.7,0,88.8
MSE + NLL-BG,0.252,0.57,0.0059,0.72,0.375,0.553,0.23,0.0207,106,11.4,41.4,0,80.7
NLL-BG + Spec,0.263,0.721,0.00678,0.937,0.298,0.531,0.238,0.036,159,3.65,18.6,19.6,54.7
NLL-BG + DSSIM,0.266,0.86,0.00664,0.802,0.43,0.763,0.323,0.0628,63.9,21.9,71,0,86.1
NLL-BG + GDL,0.248,0.584,0.00576,0.699,0.374,0.541,0.236,0.0474,95.4,14.3,50.4,0.0304,80.7
NLL-BG + C-Wav,0.247,0.6,0.00589,0.752,0.377,0.447,0.183,0.0251,82.8,15.6,54.5,0,81.1
MSE + DSSIM,0.293,0.738,0.00728,0.834,0.424,0.672,0.241,0.0573,84.7,22.6,76.5,0,90.8
MSE + Spec,0.317,0.773,0.00808,0.96,0.313,0.746,0.234,0.0565,91.8,17.7,61.8,0,68.6
MSE + C-Wav,0.288,0.713,0.00723,0.837,0.411,0.564,0.194,0.0569,89.3,20.8,73.7,0,90
MSE + GDL,0.293,0.703,0.0072,0.809,0.423,0.676,0.254,0.0688,88.4,21.8,74.7,0,90.5
F-MSE + DSSIM,0.309,0.82,0.00777,0.881,0.428,0.865,0.258,0.0658,79.3,24.7,82.3,0,90.1
F-MSE + Spec,0.379,0.967,0.0103,1.19,0.312,0.951,0.301,0.0731,96.9,18,60.5,0,45.5
F-MSE + C-Wav,0.312,0.799,0.00801,0.903,0.421,0.594,0.21,0.0667,79.8,23.4,80.7,0,90.2
F-MSE + GDL,0.318,0.783,0.00773,0.848,0.43,0.784,0.259,0.0752,78.3,23.8,80.2,0,128
MSE + NLL-BG + Spec,0.249,0.562,0.00587,0.737,0.313,0.474,0.199,0.0324,109,11.8,42.5,0.0304,72.8
NLL-BG + Spec + C-Wav,0.259,0.685,0.00654,0.919,0.295,0.45,0.189,0.0256,139,3.91,20.7,11.1,58
NLL-BG + DSSIM + Spec,0.265,0.739,0.00685,0.938,0.302,0.57,0.245,0.0337,139,4.46,19.8,25.1,56.1
NLL-BG + Spec + GDL,0.249,0.571,0.0058,0.71,0.323,0.511,0.22,0.0343,106,11.8,41.6,0.152,72.8
MSE + NLL-BG + GDL,0.243,0.534,0.00564,0.693,0.363,0.462,0.195,0.0338,110,12.7,46.3,0.0304,79.4
MSE + NLL-BG + C-Wav,0.243,0.544,0.00567,0.712,0.368,0.41,0.171,0.026,101,13.4,48.8,0.0304,80.7
NLL-BG + F-MSE + Spec,0.263,0.699,0.00676,0.947,0.293,0.53,0.21,0.0212,157,4.8,14.9,29.1,53.6
MSE + DSSIM + Spec,0.311,0.787,0.00787,0.945,0.323,0.678,0.238,0.0533,85.7,19.5,66.3,0,72.4
MSE + Spec + C-Wav,0.304,0.772,0.00779,0.946,0.322,0.568,0.203,0.0514,92.3,18.6,64.6,0,72.9
MSE + C-Wav + GDL,0.291,0.732,0.00732,0.84,0.421,0.568,0.201,0.0582,82.3,21.8,76.4,0,91.8
MSE + GDL + Spec,0.311,0.754,0.00783,0.884,0.337,0.706,0.251,0.0585,86.4,20.1,68.7,0,78.7
MSE + DSSIM + C-Wav,0.292,0.74,0.00729,0.846,0.411,0.569,0.204,0.0595,83.2,22.1,77.1,0,90.1
MSE + DSSIM + GDL,0.294,0.737,0.00717,0.811,0.428,0.667,0.281,0.0625,82.3,23.4,77.9,0,90.6
F-MSE + Spec + C-Wav,0.337,0.901,0.00906,1.11,0.319,0.612,0.218,0.0556,85.1,19.3,65.9,0,58
