Model,mae,mse,ssim,gdl,spectral,wavelet,wavelet_complex,wasserstein,rx1day
mse,0.303,0.393,0.281,0.260,0.333,0.351,0.264,0.066,79.133
log_combo_mse_ssim_spectral,0.283,0.447,0.244,0.256,0.303,0.478,0.370,0.031,131.478
log_combo_mse_spectral_wavelet,0.296,0.464,0.289,0.312,0.263,0.325,0.297,0.065,156.436
log_combo_mse_wavelet_gdl,0.278,0.432,0.267,0.260,0.320,0.354,0.310,0.077,103.146
log_combo_mse_gdl_spectral,0.316,0.616,0.304,0.301,0.282,0.439,0.437,0.069,100.794
log_combo_mse_ssim_wavelet,0.266,0.392,0.237,0.246,0.307,0.378,0.289,0.050,121.367
log_combo_mse_ssim_gdl,0.286,0.460,0.245,0.255,0.316,0.554,0.385,0.031,130.727
log_combo_nllbg_ssim_spectral,0.292,0.488,0.261,0.282,0.282,0.468,0.414,0.062,349.544
log_combo_mse_nllbg_wavelet,0.279,0.435,0.271,0.289,0.262,0.365,0.331,0.042,320.808
log_combo_fmse_spectral_wavelet,0.310,0.497,0.311,0.340,0.264,0.333,0.303,0.063,136.698
