Model,mae,mse,dssim,gdl,spectral,wavelet,wavelet_complex,wasserstein,rx1day
mse,0.282,0.659,0.007,0.799,0.412,0.558,0.216,0.056,93.359
combo_mse_nllbg_wavelet,0.243,0.544,0.006,0.712,0.368,0.410,0.171,0.026,100.893
combo_mse_nllbg_wavelet_136,0.245,0.564,0.006,0.728,0.372,0.413,0.172,0.025,88.681
combo_mse_nllbg_wavelet_163,0.245,0.575,0.006,0.730,0.377,0.446,0.187,0.024,93.022
combo_mse_nllbg_wavelet_316,0.245,0.545,0.006,0.715,0.371,0.406,0.169,0.030,102.456
combo_mse_nllbg_wavelet_361,0.244,0.555,0.006,0.714,0.374,0.456,0.194,0.035,103.385
combo_mse_nllbg_wavelet_613,0.244,0.529,0.006,0.702,0.364,0.395,0.166,0.027,110.576
combo_mse_nllbg_wavelet_631,0.242,0.531,0.006,0.701,0.363,0.420,0.174,0.025,110.370
combo_mse_nllbg_wavelet_811,0.247,0.536,0.006,0.700,0.363,0.463,0.198,0.029,111.092
combo_mse_nllbg_wavelet_181,0.248,0.595,0.006,0.737,0.385,0.512,0.211,0.026,93.528
combo_mse_nllbg_wavelet_118,0.247,0.562,0.006,0.728,0.375,0.402,0.166,0.027,93.481
