Training,mae,mse,dssim,gdl,spectral,wavelet,wavelet-complex,emd,max-emd,max-under-estim-1,max-over-estim-1,max-under-estim-2,max-over-estim-2,max-under-estim-3,max-over-estim-3,spectrum-delta
MAE,0.207,0.128,0.0334,0.132,0.137,0.415,0.136,0.0193,0.588,19.4,0.0304,3.89,0,0.456,0,48.1
Wavelet,0.218,0.134,0.0351,0.144,0.129,0.378,0.126,0.0137,0.254,8.82,1.58,1.16,0,0.122,0,46.1
Complex Wavelet,0.227,0.142,0.0372,0.153,0.143,0.385,0.127,0.0141,0.235,8.97,1.67,1.22,0,0.122,0,51.9
MSE,0.221,0.134,0.0349,0.138,0.134,0.502,0.17,0.0155,0.507,17.9,0.608,3.5,0,0.578,0,50.9
DSSIM,0.243,0.189,0.0333,0.145,0.157,0.989,0.252,0.0403,1.41,55.9,0.0304,22.4,0,7.06,0,59.8
MAE + DSSIM,0.209,0.131,0.033,0.132,0.139,0.461,0.143,0.0184,0.754,25.8,0.122,6.48,0,1.28,0,48.6
MAE + Spec,0.214,0.135,0.0349,0.143,0.114,0.437,0.142,0.0165,0.467,15.7,0.761,3.47,0,0.517,0,40.7
MAE + Wav,0.209,0.128,0.0337,0.135,0.131,0.368,0.124,0.0149,0.346,11,0.608,1.46,0,0.243,0,46.9
MAE + GDL,0.211,0.133,0.0337,0.132,0.14,0.453,0.149,0.0223,0.803,25.9,0.122,6.18,0,1.22,0,49.6
F-MAE + DSSIM,0.216,0.138,0.0333,0.139,0.143,0.516,0.142,0.0199,0.537,19.3,0.304,3.95,0,0.639,0,51.2
F-MAE + Spec,0.255,0.167,0.0447,0.185,0.114,0.46,0.152,0.0135,0.161,9.01,3.71,1.4,0.0913,0.0913,0,34.9
F-MAE + Wav,0.224,0.14,0.0362,0.152,0.137,0.367,0.126,0.013,0.23,9.01,1.76,1.55,0,0.183,0,48.1
F-MAE + GDL,0.24,0.149,0.0392,0.143,0.148,0.463,0.149,0.0198,0.563,19.4,0.426,4.65,0,0.913,0,108
MAE + DSSIM + Spec,0.213,0.134,0.0336,0.137,0.119,0.424,0.154,0.0183,0.458,16.6,8.94,3.74,0.974,0.821,0,42.7
MAE + Spec + Wav,0.211,0.131,0.0345,0.141,0.117,0.344,0.124,0.0139,0.321,10.6,0.852,1.61,0,0.243,0,43.3
F-MAE + Spec + Wav,0.223,0.141,0.0371,0.156,0.114,0.361,0.127,0.0123,0.191,7.94,2.46,1.22,0.0304,0.0608,0,39.4
MAE + Wav + GDL,0.213,0.132,0.0348,0.137,0.137,0.392,0.129,0.0165,0.429,13.4,0.395,2.43,0,0.395,0,50.7
MAE + GDL + Spec,0.217,0.136,0.0347,0.14,0.118,0.474,0.16,0.019,0.676,23.2,0.578,5.45,0,1.03,0,42.9
MAE + DSSIM + Wav,0.208,0.128,0.0332,0.133,0.133,0.38,0.126,0.0149,0.439,13.5,0.304,2.25,0,0.395,0,47.8
MAE + DSSIM + GDL,0.214,0.137,0.0333,0.133,0.14,0.493,0.162,0.0207,0.936,34.4,0.0913,9.28,0,2.4,0,49.7
